token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
1333,HDFCBANK-EQ,HDFCBANK,,-1.000000,1,,NSE,5.000000
13300,NITCO-EQ,NITCO,,-1.000000,1,,NSE,1.000000
13332,SOLARINDS-EQ,SOLARINDS,,-1.000000,1,,NSE,100.000000
13337,GALLANTT-EQ,GALLANTT,,-1.000000,1,,NSE,5.000000
13352,MALUPAPER-EQ,MALUPAPER,,-1.000000,1,,NSE,1.000000
13384,765KA34-SG,765KA34,,-1.000000,100,,NSE,1.000000
13392,77JK37-SG,77JK37,,-1.000000,100,,NSE,1.000000
13419,SUPREMEINF-BZ,SUPREMEINF,,-1.000000,1,,NSE,1.000000
13463,PIONEEREMB-EQ,PIONEEREMB,,-1.000000,1,,NSE,1.000000
13496,PFOCUS-EQ,PFOCUS,,-1.000000,1,,NSE,1.000000
13543,HDFC1204DQ-MF,HDFC1204DQ,,-1.000000,1,,NSE,1.000000
13547,HDFC1204RD-MF,HDFC1204RD,,-1.000000,1,,NSE,1.000000
13556,HDFC1204RQ-MF,HDFC1204RQ,,-1.000000,1,,NSE,1.000000
13560,GRINDWELL-EQ,GRINDWELL,,-1.000000,1,,NSE,10.000000
13625,BILVYAPAR-EQ,BILVYAPAR,,-1.000000,1,,NSE,1.000000
13631,SKYGOLD-EQ,SKYGOLD,,-1.000000,1,,NSE,5.000000
13712,754AP29-SG,754AP29,,-1.000000,100,,NSE,1.000000
13718,763TS36-SG,763TS36,,-1.000000,100,,NSE,1.000000
13750,FLUOROCHEM-EQ,FLUOROCHEM,,-1.000000,1,,NSE,10.000000
13756,SHIVAMAUTO-EQ,SHIVAMAUTO,,-1.000000,1,,NSE,1.000000
13766,DUCOL-SM,DUCOL,,-1.000000,800,,NSE,5.000000
13814,KAMOPAINTS-EQ,KAMOPAINTS,,-1.000000,1,,NSE,1.000000
13859,VENUSREM-EQ,VENUSREM,,-1.000000,1,,NSE,5.000000
13890,HIRECT-EQ,HIRECT,,-1.000000,1,,NSE,10.000000
